shortDuration,longDuration,maxOverflowPerc,areaReq,areaReqSan,areaAssigned,efficiency,efficiencySan
4,7,0.2,46427,46426,56911,0.8157825376465007,0.8157649663509691
4,7,0.15,46427,46423,56914,0.8157395368450645,0.8156692553677478
3,8,0.0,46427,46427,57232,0.8112070170533967,0.8112070170533967
4,7,0.1,46427,46424,57261,0.810796178900124,0.8107437872199228
3,8,0.05,46427,46427,57304,0.810187770487226,0.810187770487226
4,7,0.05,46427,46427,57401,0.8088186616957893,0.8088186616957893
3,9,0.05,46427,46427,57632,0.8055767629094948,0.8055767629094948
3,9,0.2,46427,46426,57698,0.8046552740129641,0.8046379423896842
3,9,0.0,46427,46427,57748,0.8039585786520745,0.8039585786520745
3,9,0.15,46427,46423,57844,0.8026242998409515,0.802555148329991
4,9,0.2,46427,46426,57920,0.8015711325966851,0.8015538674033149
3,8,0.15,46427,46423,57923,0.8015296169052017,0.8014605597085787
3,8,0.2,46427,46426,57989,0.8006173584645364,0.800600113814689
3,8,0.1,46427,46424,58109,0.7989640159011513,0.7989123887865908
4,7,0.0,46427,46427,58135,0.7986066913219231,0.7986066913219231
3,9,0.1,46427,46424,58218,0.7974681370023017,0.7974166065478031
4,9,0.15,46427,46423,58365,0.795459607641566,0.7953910734172878
5,7,0.15,46427,46423,58836,0.7890917125569379,0.7890237269698824
5,7,0.2,46427,46426,58936,0.7877528166146328,0.7877358490566038
3,7,0.0,46427,46427,59076,0.7858859773850633,0.7858859773850633
4,9,0.1,46427,46424,59085,0.7857662689345858,0.7857154946263857
5,7,0.1,46427,46424,59114,0.7853807896606557,0.7853300402611902
3,7,0.05,46427,46427,59200,0.7842398648648649,0.7842398648648649
5,8,0.15,46427,46423,59235,0.7837764834979319,0.7837089558538026
5,8,0.2,46427,46426,59241,0.783697101669452,0.7836802214682399
5,9,0.2,46427,46426,59242,0.7836838729279902,0.7836669930117146
5,9,0.15,46427,46423,59372,0.7819679310112511,0.7819005591861483
5,7,0.05,46427,46427,59450,0.7809419680403701,0.7809419680403701
4,9,0.05,46427,46427,59555,0.7795651078834691,0.7795651078834691
4,8,0.2,46427,46426,59558,0.7795258403572988,0.779509050001679
4,8,0.15,46427,46423,59623,0.7786760142897875,0.778608926085571
5,8,0.1,46427,46424,59709,0.7775544725250799,0.777504228843223
5,9,0.1,46427,46424,59924,0.7747647019558107,0.7747146385421534
3,7,0.1,46427,46424,60048,0.7731648014921396,0.7731148414601652
5,8,0.05,46427,46427,60057,0.7730489368433322,0.7730489368433322
4,8,0.1,46427,46424,60080,0.7727529960053262,0.7727030625832224
3,7,0.15,46427,46423,60128,0.7721361096327833,0.7720695848855774
4,8,0.05,46427,46427,60192,0.771315124933546,0.771315124933546
3,7,0.2,46427,46426,60372,0.7690154376200888,0.7689988736500364
5,7,0.0,46427,46427,60404,0.7686080392027018,0.7686080392027018
5,9,0.05,46427,46427,60428,0.768302773548686,0.768302773548686
4,9,0.0,46427,46427,60500,0.7673884297520661,0.7673884297520661
4,8,0.0,46427,46427,60876,0.7626486628556409,0.7626486628556409
5,8,0.0,46427,46427,60942,0.7618227166814348,0.7618227166814348
6,9,0.2,46427,46426,60986,0.7612730790673269,0.7612566818614108
6,9,0.15,46427,46423,61253,0.7579547124222487,0.7578894094983103
5,9,0.0,46427,46427,61408,0.7560415581031787,0.7560415581031787
6,9,0.1,46427,46424,62011,0.7486897485929915,0.748641370079502
6,9,0.05,46427,46427,62730,0.7401084010840109,0.7401084010840109
6,8,0.2,46427,46426,63529,0.7308001070377308,0.7307843661949661
6,8,0.15,46427,46423,63540,0.730673591438464,0.7306106389675795
6,9,0.0,46427,46427,64020,0.7251952514839113,0.7251952514839113
6,8,0.1,46427,46424,64121,0.724052962368023,0.7240061758238331
6,8,0.05,46427,46427,64530,0.7194638152797148,0.7194638152797148
6,7,0.15,46427,46423,64576,0.7189513131813677,0.7188893706640238
6,7,0.2,46427,46426,64708,0.7174847005007109,0.717469246461025
6,7,0.1,46427,46424,64856,0.7158474158134945,0.7158011594917972
6,7,0.05,46427,46427,65245,0.7115794313740517,0.7115794313740517
6,8,0.0,46427,46427,65621,0.7075021715609332,0.7075021715609332
6,7,0.0,46427,46427,66420,0.6989912676904547,0.6989912676904547
